Query,Expected,Groq Expected,Groq Reason,Predicted,Predicted_Qwen
How much is the terminal fee at NAIA for OFWs returning to their jobs?,General-LLM,General-LLM,"The query is asking for general information about terminal fees at NAIA for OFWs, which is a straightforward and factual question without any personal situation or scenario.",,General-LLM
"I have a dispute with my employer regarding my ""Rest Day"" schedule. Who can mediate?",Reasoning-LLM,Reasoning-LLM,"The query involves a personal situation and a dispute with an employer, which requires legal reasoning and guidance on a specific labor law issue.",,Reasoning-LLM
What documents do I need to bring to prove I am an OFW to avoid paying travel tax?,General-LLM,Reasoning-LLM,"The query involves a specific situation where the individual wants to avoid paying travel tax as an OFW, requiring analysis of their circumstances to provide a relevant answer.",,General-LLM
"Sabi ng amo ko, wala daw akong ""Long Service Payment"" kasi ""Resigned"" ako. Is that true?",Reasoning-LLM,Reasoning-LLM,"The query involves a personal situation and a potential dispute with the employer regarding a labor law concept, specifically ""Long Service Payment"" and the implications of resignation.",,Reasoning-LLM
Can I renew my HKID online or do I need to go to the Immigration office personally?,General-LLM,General-LLM,"The query is asking for general information about the process of renewing a Hong Kong ID, which is a simple and straightforward question related to labor law and regulations for OFWs.",,General-LLM
I accidentally broke a very expensive TV. Can the employer deduct the full price from my pay?,Reasoning-LLM,Reasoning-LLM,This query involves a scenario where an OFW is facing a potential legal issue with their employer regarding a deduction from their pay.,,General-LLM
My sister wants to borrow my HKID to apply for a loan. Is this a criminal offense?,Reasoning-LLM,Reasoning-LLM,"The query involves a scenario where lending a Hong Kong ID for loan application may pose legal risks and potential disputes, requiring critical examination of the situation.",,Reasoning-LLM
"How many months of ""Maternity Leave"" am I entitled to under HK Law?",General-LLM,General-LLM,"The query seeks general legal information regarding maternity leave entitlement under HK Law, without referencing a personal situation or scenario.",,General-LLM
I want to skip my day-off to earn extra money. Is this allowed by HK Immigration?,Reasoning-LLM,Reasoning-LLM,"The query involves a personal situation and a specific scenario where the OFW is considering taking an action that may have legal implications, thus requiring reasoning and analysis of labor laws.",,Reasoning-LLM
My employer just passed away in his sleep. What happens to my visa tomorrow?,Reasoning-LLM,Reasoning-LLM,"The query involves a personal situation and a potential legal risk regarding the user's visa status after their employer's death, requiring reasoning and analysis of the situation.",,General-LLM
Saan pwedeng kumuha ng NBI Clearance renewal habang nasa Hong Kong?,General-LLM,General-LLM,"The query asks for general information on where to renew NBI Clearance while in Hong Kong, without involving a personal situation or legal dispute.",,General-LLM
Nag-positive ako sa COVID or a new virus. Can my employer force me to sleep in the park?,Reasoning-LLM,Reasoning-LLM,"The query involves a personal situation and asks about the actions an employer can take, which requires analysis of labor laws and rights, particularly in relation to health and safety.",,Reasoning-LLM
What is the emergency hotline of the Philippine Consulate in Admiralty?,General-LLM,General-LLM,"The query is asking for general information about the Philippine Consulate's emergency hotline, which is a straightforward and factual question.",,General-LLM
My family in the Philippines was hit by a typhoon. Can I get an SSS calamity loan?,General-LLM,General-LLM,"The query asks for general legal information about SSS calamity loans, which is a type of benefit available to OFWs and their families, without involving a specific personal situation or dispute.",,General-LLM
Nakagat ako ng aso ng kapitbahay habang nilalakad ko yung aso ng amo ko. Who is liable?,Reasoning-LLM,Reasoning-LLM,"The query involves a scenario or situation where the user is seeking to determine liability in a specific incident, which requires analysis and application of legal principles.",,Reasoning-LLM
How do I book an appointment for the Overseas Absentee Voting (OAV) for the next election?,General-LLM,General-LLM,"The query asks for general information on how to book an appointment for the Overseas Absentee Voting, which is a straightforward and factual question related to OFW rights.",,General-LLM
Pinipilit ako ng amo ko na uminom ng gamot na hindi ko alam para daw hindi ako magkasakit.,Reasoning-LLM,Reasoning-LLM,"The query involves a personal situation and a potential labor dispute, as the worker is being compelled by their employer to take unknown medication, which raises concerns about their rights and well-being.",,Reasoning-LLM
"What is the ""Assistance to Nationals"" (ATN) section of the Consulate for?",General-LLM,General-LLM,"The query asks for a general explanation of a specific section of the Consulate, which falls under general legal information.",,General-LLM
Nasira yung phone ko and I lost my E-visa copy. How can I show it to Immigration?,Reasoning-LLM,Reasoning-LLM,"The query involves a personal situation and a potential legal issue with Immigration, requiring guidance on what action to take to resolve the problem.",,General-LLM
Magkano ang fee for a Notarial Service or Red Ribbon sa Consulate ngayon?,General-LLM,General-LLM,"The query asks for general information about the current fee for a Notarial Service or Red Ribbon at the Consulate, which is a straightforward question without a personal scenario.",,General-LLM
"My employer is verbally abusing me every day. Can I ""break contract"" for this reason?",Reasoning-LLM,Reasoning-LLM,"The query involves a personal situation of verbal abuse at work and asks about a potential course of action regarding a contract, indicating a need for reasoning and analysis of legal options.",,Reasoning-LLM
Is it true that there is a 24-hour shelter for OFWs in Jordan or Wan Chai?,General-LLM,General-LLM,"The query seeks general information about the existence of a shelter for OFWs in specific locations, without involving a personal situation or scenario.",,General-LLM
Na-scam ako sa Facebook investment. Can the Consulate help me get my money back?,Reasoning-LLM,Reasoning-LLM,The query involves a personal situation with a potential legal dispute and seeks guidance on what action to take to recover lost money.,,Reasoning-LLM
How can I report an illegal recruitment agency back in the Philippines?,General-LLM,General-LLM,"The query is about general legal information on reporting an illegal recruitment agency, which is related to OFW and labor law, and does not involve a personal situation or specific scenario.",,Reasoning-LLM
My amo wants me to clean the windows of a 40th-floor flat. Is this a violation of my contract?,Reasoning-LLM,Reasoning-LLM,"This query involves a specific work situation and asks about a potential contract violation, requiring analysis of the user's employment terms and potential legal risks.",,Reasoning-LLM
What are the requirements to change my name in my passport after getting married?,General-LLM,General-LLM,"The query is asking for general information about the requirements for changing a name in a passport after marriage, which is a straightforward legal procedure.",,General-LLM
I am a victim of physical assault by my employer's child. Should I call 999 immediately?,Reasoning-LLM,Reasoning-LLM,"The query involves a personal situation with a scenario of physical assault and asks what action to take, indicating a need for legal guidance and risk assessment.",,Reasoning-LLM
Can the Consulate provide a lawyer for me if I have a case in the Labour Tribunal?,General-LLM,General-LLM,"This query seeks general information about the role of the Consulate in providing legal assistance, which is a basic legal inquiry.",,Reasoning-LLM
"My passport was stolen at the North Point market. What is the ""Report of Loss"" process?",Reasoning-LLM,General-LLM,"The query is asking for general information about the ""Report of Loss"" process, which is a straightforward and definition-based question related to legal procedures.",,General-LLM
Is there a limit to how many balikbayan boxes I can send tax-free per year?,General-LLM,General-LLM,"The query asks for general information about tax-free balikbayan boxes, which is a matter of general legal information related to OFW rights and privileges.",,General-LLM
I'm feeling depressed and lonely. Are there any free counseling services for OFWs in HK?,Reasoning-LLM,General-LLM,"The query is asking for general information about available counseling services for OFWs, without presenting a personal situation or legal dispute.",,General-LLM
How do I claim the insurance money for a deceased OFW relative in HK?,General-LLM,Reasoning-LLM,"The query involves a specific situation and asks for action to take, which is claiming insurance money for a deceased OFW relative, indicating a need for reasoning and guidance on a legal process.",,General-LLM
I accidentally overstayed my visa because I was in the hospital. Will I be jailed?,Reasoning-LLM,Reasoning-LLM,"The query involves a personal situation with a potential legal risk, specifically an overstay due to unforeseen circumstances, and seeks advice on the consequences of such an action.",,General-LLM
"Pinagbabayad ako ng ""Terminal Fee"" sa airport even though I have an OEC. What should I do?",Reasoning-LLM,Reasoning-LLM,"The query involves a personal situation and asks for a course of action regarding a potential dispute over a terminal fee payment, which requires legal reasoning and advice.",,Reasoning-LLM
"Can I apply for a ""Special Entry Permit"" for my husband to visit me in Hong Kong?",General-LLM,Reasoning-LLM,"The query involves a personal situation and asks about a specific action to take regarding a labor-related permit, which requires legal reasoning and analysis.",,General-LLM
My employer is monitoring my period/menstrual cycle. Is this an invasion of privacy?,Reasoning-LLM,Reasoning-LLM,"The query involves a scenario where the individual's privacy is potentially at risk, implying a need for analysis of a specific situation related to labor law and employer-employee rights.",,Reasoning-LLM
How can I verify if my agency is blacklisted by the DMW/POEA?,General-LLM,General-LLM,"This query seeks general legal information about verifying an agency's status, which is a straightforward and informative question without a personal scenario or action to take.",,General-LLM
I want to donate to a charity in the Philippines. How can I make sure it's not a scam?,Reasoning-LLM,General-LLM,"The query seeks general information on how to avoid charity scams, which is a general legal concern and does not involve a personal situation or labor law specifics.",,General-LLM
"What is the ""Labor Tribunal"" and how is it different from the ""Minor Employment Claims Board""?",General-LLM,General-LLM,"The query seeks general information and definitions regarding labor-related institutions, without presenting a personal situation or scenario.",,Reasoning-LLM
My agency is holding my original birth certificate. Can I ask for it back?,Reasoning-LLM,Reasoning-LLM,"The query involves a personal situation and a potential labor dispute, as the OFW is asking about retrieving a personal document being held by their agency.",,Reasoning-LLM
"How do I get a ""Certificate of No Marriage"" (CENOMAR) while living in HK?",General-LLM,General-LLM,"The query asks for general legal information on obtaining a specific document, which is a straightforward and informative question without a personal situation or scenario.",,General-LLM
My employer refuses to buy my ticket back to the Philippines after my contract ended.,Reasoning-LLM,Reasoning-LLM,"The query involves a personal situation with a specific scenario, seeking guidance on a potential labor dispute related to an OFW's rights.",,Reasoning-LLM
"Is there a ""POLO"" office inside the Philippine Consulate building?",General-LLM,General-LLM,"The query is asking for general information about the location of a POLO office, which is related to OFW labor law but does not involve a personal situation or scenario.",,General-LLM
What are the operating hours of the Philippine Consulate on Sundays?,General-LLM,General-LLM,"The query is asking for general information about the Philippine Consulate's operating hours, which is a simple and straightforward question that does not involve a personal situation or legal risk.",,General-LLM
"I found out my employer is filming the bathroom. This is a crime, right?",Reasoning-LLM,Reasoning-LLM,The query involves a specific situation of potential illegal activity by the employer and seeks to understand the legal implications of the action.,,Reasoning-LLM
Pinagsasabihan ako ng amo ko na wag makipag-usap sa ibang Pinoy sa labas. Is this legal?,Reasoning-LLM,Reasoning-LLM,"The query involves a personal situation and asks about the legality of an action, which requires analysis of labor law and potential legal risks.",,Reasoning-LLM
"How can I send a formal ""Grievance Letter"" to the DMW?",General-LLM,Reasoning-LLM,"The query involves a specific situation of sending a formal grievance letter, which requires guidance on taking action in a potentially disputed matter.",,General-LLM
My contract was terminated while I was on home leave in the Philippines. Can I still return?,Reasoning-LLM,Reasoning-LLM,"The query involves a personal situation and asks about the appropriate action to take in response to a contract termination, which indicates a need for reasoning and analysis of legal implications.",,Reasoning-LLM
What is the minimum rest period between two working days for a helper?,General-LLM,General-LLM,"The query is asking for general information about labor laws regarding rest periods for helpers, without referencing a specific personal situation or scenario.",,General-LLM
"I want to report a suspicious ""Money Lending"" person in World-Wide House.",Reasoning-LLM,Reasoning-LLM,"The query involves a scenario of reporting a suspicious person, which may lead to a legal action or dispute, requiring reasoning and analysis of the situation.",,Reasoning-LLM
How much is the OWWA membership fee in Hong Kong Dollars for 2026?,General-LLM,General-LLM,"The query is asking for general information about the OWWA membership fee, which is a straightforward and factual question related to OFW labor law.",,General-LLM
My employer is forcing me to work on a day when there is a Signal No. 8 Typhoon.,Reasoning-LLM,Reasoning-LLM,The query involves a personal situation and asks for guidance on what action to take in a specific scenario related to labor law and employee rights.,,Reasoning-LLM
Can I get a copy of my employment contract from the Labor Department?,General-LLM,General-LLM,"The query is asking for general information about obtaining a copy of an employment contract, which is a basic rights overview without involving a personal situation or scenario.",,General-LLM
Is it legal for my employer to read my personal letters or emails?,General-LLM,Reasoning-LLM,"The query involves a scenario where the user's personal situation and legal rights in the workplace are in question, specifically regarding privacy and employer boundaries.",,Reasoning-LLM
My co-worker is stealing from our employer and blaming me. How do I defend myself?,Reasoning-LLM,Reasoning-LLM,"The query involves a personal situation with a dispute and potential legal risk, requiring analysis and advice on how to take action to defend oneself.",,Reasoning-LLM
"Sabi ng friend ko, may ""468 rule"" na daw starting Jan 2026. Does this affect my contract as a stay-in helper?",Reasoning-LLM,Reasoning-LLM,"The query involves a specific scenario related to labor law, namely the potential impact of the ""468 rule"" on the user's contract as a stay-in helper.",,Reasoning-LLM
"Is Easter Monday (April 6, 2026) already considered a paid statutory holiday for us?",General-LLM,General-LLM,"The query seeks general legal information about a paid statutory holiday, which is a straightforward question without a personal situation or scenario.",,General-LLM
"My employer is only paying me $4,990 but I signed my contract in November 2025. Is this correct?",Reasoning-LLM,Reasoning-LLM,"The query involves a personal situation and a potential dispute regarding contract terms and payment, which requires analysis of labor law and legal risk.",,Reasoning-LLM
How do I open a Maya or GCash account while I am physically here in Hong Kong?,General-LLM,General-LLM,"The query is about general information on opening a financial account, which is a simple Q&A that does not involve a personal situation or legal risk.",,Reasoning-LLM
Magkano ang food allowance ko starting September 2025 if my employer doesn't provide free food?,General-LLM,General-LLM,"The query asks for general legal information regarding food allowance, which is a straightforward question that can be answered based on existing labor laws and regulations.",,General-LLM
"What is the ""1% Remittance Tax"" I'm hearing about? Does it apply to money sent from HK to PH?",Reasoning-LLM,General-LLM,"The query is asking for general information about a tax and its applicability, without presenting a personal situation or scenario.",,General-LLM
My employer wants to pay me in cash every month. Is it better to have it through a bank transfer?,Reasoning-LLM,Reasoning-LLM,"The query involves a personal situation and a decision that may have legal implications, such as tax obligations or proof of payment, which requires critical evaluation of the options.",,General-LLM
How can I verify my Overseas Employment Certificate (OEC) using the DMW Mobile App?,General-LLM,General-LLM,"The query is asking for general information on how to verify an OEC, which is a straightforward question that does not involve a personal situation or legal dispute.",,General-LLM
"Nakatanggap ako ng message sa WhatsApp from ""HK Immigration"" asking for my bank details. Is this a scam?",Reasoning-LLM,Reasoning-LLM,"The query involves a scenario where the user is uncertain about the legitimacy of a message potentially related to their employment or legal status as an OFW, and is seeking guidance on how to proceed.",,Reasoning-LLM
What are the requirements for an SSS Salary Loan this 2026 for active members?,General-LLM,General-LLM,"The query asks for general information about the requirements for an SSS Salary Loan, which is a type of legal information related to labor law and benefits for OFWs.",,General-LLM
"My employer is asking for my ATM card and PIN ""for safekeeping."" Should I give it?",Reasoning-LLM,Reasoning-LLM,"This query involves a personal situation and potential legal risk, as it raises concerns about the employer's request and the employee's rights and security.",,General-LLM
"How much is the ""Contract Renewal Fee"" if I process it through an agency in 2026?",General-LLM,General-LLM,"The query asks for general information about the ""Contract Renewal Fee"" without presenting a personal situation or scenario that requires reasoning or action.",,Reasoning-LLM
I want to start a small business in the Philippines. Are there any programs from OWWA for this?,General-LLM,General-LLM,"The query asks for general information about OWWA programs for starting a small business in the Philippines, without presenting a specific personal situation or scenario.",,General-LLM
"Sabi ng amo ko, deduction daw sa sahod ko yung fee for my mandatory insurance. Is this legal?",Reasoning-LLM,Reasoning-LLM,"The query involves a personal situation and asks about the legality of a specific action taken by the employer, which requires analysis of labor laws and potential legal risks.",,General-LLM
Can I pay my PhilHealth and Pag-IBIG contributions in one go at World-Wide House?,General-LLM,General-LLM,"The query asks for general information about paying PhilHealth and Pag-IBIG contributions, which is a simple Q&A related to OFW labor law.",,General-LLM
"My remittance was ""frozen"" because of a name mismatch. How can I fix this from HK?",Reasoning-LLM,Reasoning-LLM,"The query involves a personal situation and requires guidance on taking action to resolve a specific issue related to OFW labor law, namely fixing a remittance problem due to a name mismatch.",,General-LLM
What is the maximum amount I can send to the Philippines in one day via TNG or AlipayHK?,General-LLM,General-LLM,"The query is asking for general information about the maximum amount that can be sent to the Philippines, which is a simple Q&A related to overseas Filipino workers' financial transactions.",,General-LLM
I lost my phone with my digital E-visa. Can I print a new one from the Immigration website?,General-LLM,General-LLM,The query seeks general information about E-visa procedures and does not involve a personal situation or legal dispute.,,General-LLM
"My employer told me to use my own money to buy groceries and they will just ""reimburse"" me. Is this safe?",Reasoning-LLM,Reasoning-LLM,"The query involves a personal work situation and asks about the safety of a specific action, indicating a need for legal risk assessment and guidance.",,Reasoning-LLM
"How do I claim the ""Death Benefit"" from SSS if the member is an OFW in HK?",General-LLM,Reasoning-LLM,"The query involves a specific situation and asks for instructions on how to take action, which requires analysis and application of labor law and SSS regulations to an OFW's circumstance.",,Reasoning-LLM
Can I apply for a credit card in Hong Kong using my employment contract?,Reasoning-LLM,Reasoning-LLM,"The query involves a personal situation and asks what action to take, which requires legal analysis and reasoning related to labor law and employment contracts.",,General-LLM
"My friend wants to use my bank account to receive money from a stranger. Is this ""Money Laundering""?",Reasoning-LLM,Reasoning-LLM,"The query involves a scenario with potential legal risk and implications of a financial transaction, requiring analysis and application of legal concepts to determine the appropriate course of action.",,Reasoning-LLM
"Is it true that the ""418 rule"" is now ""468 rule""? What does ""aggregate hours"" mean?",General-LLM,General-LLM,"The query asks for general information and definitions regarding labor laws, specifically about the ""418 rule"" and ""aggregate hours"", without presenting a personal situation or scenario.",,Reasoning-LLM
How can I check if my employer is actually paying for my medical insurance?,Reasoning-LLM,Reasoning-LLM,"The query involves a personal situation and potential legal risk, as it questions the employer's compliance with providing medical insurance, which requires analysis and advice on how to proceed.",,Reasoning-LLM
"What is the ""E-Link"" system for OFW workers at the Consulate?",General-LLM,General-LLM,"The query is asking for general information about the ""E-Link"" system, which is related to OFW workers, but does not involve a personal situation or scenario.",,General-LLM
I was overcharged by a taxi in Central. Where can I file a complaint?,General-LLM,General-LLM,"The query is about general information on where to file a complaint, which is a straightforward and informational question.",,Reasoning-LLM
"My agency says I need to pay for my own ""Fit to Work"" medical exam in HK. Is that right?",Reasoning-LLM,Reasoning-LLM,"This query involves a specific situation and contractual obligation, and the user is seeking clarification on their rights and potential legal recourse regarding the payment for a medical exam.",,Reasoning-LLM
Can I get a refund for my Pag-IBIG contributions if I decide to stay in the Philippines for good?,General-LLM,General-LLM,"The query seeks general information about Pag-IBIG contributions and refund eligibility, without involving a personal situation or legal dispute.",,General-LLM
"I found a ""part-time"" job as a flyer distributor on my day-off. Will I get deported if I get caught?",Reasoning-LLM,Reasoning-LLM,"The query involves a personal situation and a potential legal risk of deportation, requiring analysis of the individual's circumstances and the applicable labor laws.",,Reasoning-LLM
"What are the ""Statutory Holidays"" for the month of May 2026?",General-LLM,General-LLM,"The query asks for general information about statutory holidays, which is a straightforward and definitional question related to labor law.",,General-LLM
My employer is relocating to Singapore. Can I transfer my contract to their sister here in HK?,Reasoning-LLM,Reasoning-LLM,"The query involves a personal situation and a potential contractual issue related to labor law, requiring analysis of the circumstances to determine the appropriate course of action.",,Reasoning-LLM
"How do I apply for a ""Red Ribbon"" (Apostille) for my child's birth certificate in HK?",General-LLM,Reasoning-LLM,"The query involves a specific situation of applying for a ""Red Ribbon"" for a child's birth certificate in HK, which requires guidance on a particular legal process.",,General-LLM
"Pinipilit ako ng amo ko na mag-sign ng ""Termination by Mutual Consent"" pero ayaw ko umalis.",Reasoning-LLM,Reasoning-LLM,"The query involves a personal situation with a labor dispute and asks for implied action to take, indicating a need for reasoning and guidance on a specific legal issue related to OFW labor law.",,Reasoning-LLM
"What is the ""Minimum Allowable Wage"" (MAW) for contracts signed after Sept 30, 2025?",General-LLM,General-LLM,"The query is asking for general information about the Minimum Allowable Wage (MAW) for contracts signed after a specific date, without involving a personal situation or scenario.",,General-LLM
Can I use my Philippine driver's license to drive for my employer in Hong Kong?,Reasoning-LLM,Reasoning-LLM,"The query involves a personal situation and asks about taking a specific action, which requires analysis of labor laws and regulations applicable to OFWs in Hong Kong.",,General-LLM
How do I update my mobile number in the SSS portal if I don't have my old SIM anymore?,General-LLM,General-LLM,"The query is asking for general information on how to update personal details in the SSS portal, which is a straightforward Q&A related to labor law.",,General-LLM
My employer is deduction $100 for every plate I break. Is there a limit to this deduction?,Reasoning-LLM,Reasoning-LLM,"The query involves a personal situation and asks about the legitimacy of a specific contractual arrangement, which requires reasoning and analysis of labor law.",,General-LLM
"What is the ""Certificate of Trial Balance"" for? Do I need it for my loan?",General-LLM,General-LLM,"The query asks for a definition and explanation of a financial document, which is a general inquiry but may be related to labor law in the context of loan applications, although it doesn't directly involve OFW or labor law specifics.",,General-LLM
"Is there a ""Social Welfare Officer"" at the Philippine Consulate for family disputes?",General-LLM,General-LLM,"The query seeks general information about the presence of a specific officer at the Philippine Consulate related to family disputes, which falls under general legal information.",,General-LLM
My employer hasn't given me a copy of my signed contract for 2 months now.,Reasoning-LLM,Reasoning-LLM,"The query involves a personal situation with an employer and a potential legal dispute over a contract, requiring reasoning and analysis to determine the best course of action.",,Reasoning-LLM
"How can I avail of the ""Balik-Pinas, Balik-Hanapbuhay"" program of OWWA?",General-LLM,General-LLM,"The query is asking for general information about a specific program related to OFW benefits, without presenting a personal situation or scenario.",,General-LLM
I want to cancel my loan with a finance company because of high interest. Is it possible?,Reasoning-LLM,Reasoning-LLM,"The query involves a personal situation and a potential legal dispute with a finance company, requiring analysis and advice on a specific course of action.",,Reasoning-LLM
"What is the phone number of the ""Bethune House"" migrant women's shelter?",General-LLM,General-LLM,"The query is asking for general information about a specific shelter, which is related to OFW support services.",,General-LLM
"My employer is asking me to work during my ""Rest Day"" because they have a party.",Reasoning-LLM,Reasoning-LLM,"The query involves a specific work situation and asks for guidance on what action to take, indicating a potential legal dispute or contract issue related to labor law.",,Reasoning-LLM
My agency is threatening to sue my family in the Philippines if I terminate my contract.,Reasoning-LLM,Reasoning-LLM,"The query involves a personal situation with a legal risk, specifically a potential lawsuit, and requires guidance on what action to take regarding a contract dispute.",,Reasoning-LLM
"Is it true that starting this year, 2026, Easter Monday is already a paid statutory holiday?",General-LLM,General-LLM,"The query seeks general legal information regarding a paid statutory holiday, which is a straightforward and definition-based question.",,General-LLM
My employer said I have to work on April 6 (Easter Monday) without a replacement day. Is that okay?,Reasoning-LLM,Reasoning-LLM,"The query involves a scenario where the user's employer is requiring them to work on a holiday, which may pose a legal issue or dispute related to labor law.",,Reasoning-LLM
"Since Ching Ming Festival (April 5, 2026) falls on a Sunday, when should I get my holiday?",General-LLM,General-LLM,"The query is asking for general information about holiday schedules, which falls under general legal information.",,General-LLM
I've been with my employer for only 2 months. Am I entitled to holiday pay for the 2026 Lunar New Year?,Reasoning-LLM,Reasoning-LLM,"The query involves a personal situation and asks about entitlement to holiday pay, which requires analysis of labor laws and contracts.",,ERROR: Empty route returned
"Magkano na ang minimum salary for contracts processed today, March 10, 2026?",General-LLM,General-LLM,"The query asks for general information about the current minimum salary for contracts, which is a straightforward and factual question without a personal scenario or situation.",,General-LLM
"My employer wants to pay me $4,990 because my contract was signed in August 2025. Is this legal?",Reasoning-LLM,Reasoning-LLM,"The query involves a personal situation and asks about the legality of a specific action, indicating a need for reasoning and analysis of a potential labor law dispute.",,Reasoning-LLM
"Sabi ng amo ko, deduction daw sa sahod ko yung fee for my mandatory insurance. Is this legal?",Reasoning-LLM,Reasoning-LLM,"The query involves a personal situation and a potential legal dispute regarding a deduction from the user's salary, requiring analysis of labor laws and contracts.",,General-LLM
"Can I go to a public hospital in HK if I have a high fever, or do I need my employer's permission first?",General-LLM,Reasoning-LLM,"The query involves a personal situation and asks about the necessary steps to take in case of a medical emergency while working abroad, which requires consideration of labor laws and employment contracts.",,General-LLM
I'm feeling very stressed and I want to see a doctor for mental health. Will my insurance cover it?,Reasoning-LLM,General-LLM,"The query is about general legal information regarding insurance coverage for mental health, which does not involve a personal situation or legal risk.",,General-LLM
"What is the ""468 Rule"" that started in January 2026? Does it apply to us domestic helpers?",General-LLM,General-LLM,"The query asks for general information about a specific rule and its applicability to domestic helpers, without presenting a personal situation or scenario.",,General-LLM
My employer is asking me to pay for my own medical check-up for contract renewal. Is that my responsibility?,Reasoning-LLM,Reasoning-LLM,"The query involves a personal work situation and asks about the responsibility of a specific action, indicating a need for legal reasoning related to labor law and contracts.",,Reasoning-LLM
"If I get pregnant this year, how many weeks of paid maternity leave am I entitled to in HK?",General-LLM,General-LLM,"This query seeks general legal information regarding maternity leave entitlement in Hong Kong, without presenting a personal situation or scenario.",,General-LLM
I have a toothache and need an extraction. Is the employer required to pay for dental surgery?,Reasoning-LLM,Reasoning-LLM,"The query involves a personal situation and asks about the employer's responsibility, which requires analysis of labor law and contracts.",,General-LLM
What happens if a statutory holiday falls on my rest day? Do I lose that holiday?,General-LLM,General-LLM,"This query asks for general information about statutory holidays and rest days, without presenting a specific personal situation or scenario.",,General-LLM
My boss told me to clean the aircon from the outside of the 20th floor. Can I say no?,Reasoning-LLM,Reasoning-LLM,"The query involves a specific work scenario and asks about taking action in response to a potentially risky task, which requires legal reasoning related to labor law and worker safety.",,Reasoning-LLM
"How do I compute my ""Average Daily Wage"" for holiday pay purposes?",General-LLM,General-LLM,"The query asks for general information on computing average daily wage, which is a straightforward question related to labor law.",,General-LLM
I haven't had a pay slip for 3 months. Can I demand a written record of my salary?,Reasoning-LLM,Reasoning-LLM,"The query involves a personal work situation and asks what action to take regarding a potential labor law issue, specifically a dispute over pay slips.",,ERROR: Empty route returned
"What is the ""Food Allowance"" amount for 2026 if the employer doesn't provide free food?",General-LLM,General-LLM,"The query asks for general information about the ""Food Allowance"" amount, which is a straightforward question about labor law without involving a personal situation or scenario.",,General-LLM
Can my employer fire me while I am on paid sick leave?,Reasoning-LLM,Reasoning-LLM,"The query involves a specific employment situation and asks about potential action by the employer, indicating a need for analysis of labor law and potential legal risk.",,Reasoning-LLM
How many paid sick days do I earn for every month of service in my first year?,General-LLM,General-LLM,"The query is asking for general legal information regarding paid sick days, which is a straightforward and definition-based question.",,General-LLM
"I accidentally broke the vacuum cleaner. Can my employer deduct $500 from my $5,100 salary?",Reasoning-LLM,Reasoning-LLM,The query presents a scenario involving a potential labor dispute and seeks guidance on a specific course of action related to employment law.,,Reasoning-LLM
What is the maximum fine an employer can face for underpaying a domestic helper in 2026?,General-LLM,General-LLM,"The query seeks general legal information about the maximum fine for underpaying a domestic helper, without referencing a personal situation or specific scenario.",,General-LLM
"My amo wants me to stay home on my rest day because of a ""new virus"" alert. Is this allowed?",Reasoning-LLM,Reasoning-LLM,"The query involves a personal situation and a potential labor dispute, as it questions the allowed actions of an employer regarding an employee's rest day.",,Reasoning-LLM
"I want to change my ""Rest Day"" from Sunday to Tuesday. Do I need to inform Immigration?",Reasoning-LLM,Reasoning-LLM,"The query involves a personal situation and a potential legal consequence, as it requires consideration of the implications of changing a work schedule on immigration status.",,General-LLM
How many days of annual leave do I get after completing my first 2-year contract?,General-LLM,General-LLM,"The query is asking for general information about annual leave entitlement, which is a straightforward and definitional aspect of labor law.",,General-LLM
"My employer is asking for a ""medical report"" before they give me my sick leave pay. Is this right?",Reasoning-LLM,Reasoning-LLM,The query involves a personal situation and a potential labor law dispute regarding the request for a medical report in exchange for sick leave pay.,,General-LLM
"Is it legal for the agency to charge me a ""membership fee"" every month?",General-LLM,Reasoning-LLM,"The query involves a scenario where the OFW is being charged a monthly fee by the agency, which may pose a legal risk or dispute.",,Reasoning-LLM
I found out my employer is recording my voice in the kitchen. Is this a privacy violation?,Reasoning-LLM,Reasoning-LLM,"The query involves a specific situation and asks about a potential legal issue, which requires analysis and application of labor law principles related to privacy.",,Reasoning-LLM
"What is the address of the Labour Department's ""Foreign Domestic Helpers Administration Section""?",General-LLM,General-LLM,"The query is asking for general information about the address of a government department related to labor law, which is a straightforward and factual question.",,General-LLM
My employer died and the children want me to stay and work for them. Do I need a new visa?,Reasoning-LLM,Reasoning-LLM,"The query involves a specific scenario and asks about the necessary action to take regarding a new visa, which implies a potential legal risk or dispute.",,Reasoning-LLM
"Can I get a ""Long Service Payment"" if I've worked for the same employer for 5 years?",General-LLM,General-LLM,The query is asking for general information about a specific labor law benefit without presenting a personal situation or scenario.,,General-LLM
"I was terminated because I was ""too slow."" Do I still get my 1-month notice pay?",Reasoning-LLM,Reasoning-LLM,"The query involves a personal situation of termination and asks about notice pay, which requires analysis of labor law and potential legal action.",,General-LLM
What are the requirements to renew a contract without going back to the Philippines (Direct Hire)?,General-LLM,Reasoning-LLM,"The query involves a specific situation of renewing a contract as a direct hire OFW and asks for requirements, which indicates a need for legal guidance on a particular circumstance.",,General-LLM
"My friend told me I can work ""Part-time"" as a cleaner for her friend. Is this worth the risk?",Reasoning-LLM,Reasoning-LLM,"The query involves a personal situation and asks about the potential risk of taking a part-time job, which requires analyzing the legal implications of such an action.",,Reasoning-LLM
How much is the current HKID replacement fee if I lose my card this 2026?,General-LLM,General-LLM,"The query is asking for general information about the current replacement fee for a lost HKID card, which is a simple and factual question.",,General-LLM
