Query,Expected,Groq Expected,Predicted_Gemini,Predicted_Qwen
I was overcharged by a taxi in Central. Where can I file a complaint?,General-LLM,General-LLM,General-LLM,Reasoning-LLM
My agency says I need to pay for my own "Fit to Work" medical exam in HK. Is that right?,Reasoning-LLM,Reasoning-LLM,General-LLM,Reasoning-LLM
Can I get a refund for my Pag-IBIG contributions if I decide to stay in the Philippines for good?,General-LLM,General-LLM,General-LLM,General-LLM
I found a "part-time" job as a flyer distributor on my day-off. Will I get deported if I get caught?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
What are the "Statutory Holidays" for the month of May 2026?,General-LLM,General-LLM,General-LLM,General-LLM
My employer is relocating to Singapore. Can I transfer my contract to their sister here in HK?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
How do I apply for a "Red Ribbon" (Apostille) for my child's birth certificate in HK?,General-LLM,Reasoning-LLM,General-LLM,General-LLM
Pinipilit ako ng amo ko na mag-sign ng "Termination by Mutual Consent" pero ayaw ko umalis.,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
"What is the ""Minimum Allowable Wage"" (MAW) for contracts signed after Sept 30, 2025?",General-LLM,General-LLM,General-LLM,General-LLM
Can I use my Philippine driver's license to drive for my employer in Hong Kong?,Reasoning-LLM,Reasoning-LLM,General-LLM,General-LLM
How do I update my mobile number in the SSS portal if I don't have my old SIM anymore?,General-LLM,General-LLM,General-LLM,General-LLM
My employer is deduction $100 for every plate I break. Is there a limit to this deduction?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,General-LLM
What is the "Certificate of Trial Balance" for? Do I need it for my loan?,General-LLM,General-LLM,General-LLM,General-LLM
Is there a "Social Welfare Officer" at the Philippine Consulate for family disputes?,General-LLM,General-LLM,General-LLM,General-LLM
My employer hasn't given me a copy of my signed contract for 2 months now.,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
"How can I avail of the ""Balik-Pinas, Balik-Hanapbuhay"" program of OWWA?",General-LLM,General-LLM,General-LLM,General-LLM
I want to cancel my loan with a finance company because of high interest. Is it possible?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
What is the phone number of the "Bethune House" migrant women's shelter?,General-LLM,General-LLM,General-LLM,General-LLM
My employer is asking me to work during my "Rest Day" because they have a party.,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
My agency is threatening to sue my family in the Philippines if I terminate my contract.,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
"Is it true that starting this year, 2026, Easter Monday is already a paid statutory holiday?",General-LLM,General-LLM,Casual-LLM,General-LLM
My employer said I have to work on April 6 (Easter Monday) without a replacement day. Is that okay?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
"Since Ching Ming Festival (April 5, 2026) falls on a Sunday, when should I get my holiday?",General-LLM,General-LLM,General-LLM,General-LLM
I've been with my employer for only 2 months. Am I entitled to holiday pay for the 2026 Lunar New Year?,Reasoning-LLM,Reasoning-LLM,General-LLM,ERROR: Empty route returned
"Magkano na ang minimum salary for contracts processed today, March 10, 2026?",General-LLM,General-LLM,General-LLM,General-LLM
"My employer wants to pay me $4,990 because my contract was signed in August 2025. Is this legal?",Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
"Sabi ng amo ko, deduction daw sa sahod ko yung fee for my mandatory insurance. Is this legal?",Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,General-LLM
"Can I go to a public hospital in HK if I have a high fever, or do I need my employer's permission first?",General-LLM,Reasoning-LLM,Reasoning-LLM,General-LLM
I'm feeling very stressed and I want to see a doctor for mental health. Will my insurance cover it?,Reasoning-LLM,General-LLM,General-LLM,General-LLM
What is the "468 Rule" that started in January 2026? Does it apply to us domestic helpers?,General-LLM,General-LLM,General-LLM,General-LLM
My employer is asking me to pay for my own medical check-up for contract renewal. Is that my responsibility?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
"If I get pregnant this year, how many weeks of paid maternity leave am I entitled to in HK?",General-LLM,General-LLM,General-LLM,General-LLM
I have a toothache and need an extraction. Is the employer required to pay for dental surgery?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,General-LLM
What happens if a statutory holiday falls on my rest day? Do I lose that holiday?,General-LLM,General-LLM,General-LLM,General-LLM
My boss told me to clean the aircon from the outside of the 20th floor. Can I say no?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
How do I compute my "Average Daily Wage" for holiday pay purposes?,General-LLM,General-LLM,General-LLM,General-LLM
I haven't had a pay slip for 3 months. Can I demand a written record of my salary?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,ERROR: Empty route returned
What is the "Food Allowance" amount for 2026 if the employer doesn't provide free food?,General-LLM,General-LLM,General-LLM,General-LLM
Can my employer fire me while I am on paid sick leave?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
How many paid sick days do I earn for every month of service in my first year?,General-LLM,General-LLM,General-LLM,General-LLM
"I accidentally broke the vacuum cleaner. Can my employer deduct $500 from my $5,100 salary?",Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
What is the maximum fine an employer can face for underpaying a domestic helper in 2026?,General-LLM,General-LLM,General-LLM,General-LLM
My amo wants me to stay home on my rest day because of a "new virus" alert. Is this allowed?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
I want to change my "Rest Day" from Sunday to Tuesday. Do I need to inform Immigration?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,General-LLM
How many days of annual leave do I get after completing my first 2-year contract?,General-LLM,General-LLM,General-LLM,General-LLM
My employer is asking for a "medical report" before they give me my sick leave pay. Is this right?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,General-LLM
Is it legal for the agency to charge me a "membership fee" every month?,General-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
I found out my employer is recording my voice in the kitchen. Is this a privacy violation?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
What is the address of the Labour Department's "Foreign Domestic Helpers Administration Section"?,General-LLM,General-LLM,General-LLM,General-LLM
My employer died and the children want me to stay and work for them. Do I need a new visa?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
Can I get a "Long Service Payment" if I've worked for the same employer for 5 years?,General-LLM,General-LLM,General-LLM,General-LLM
I was terminated because I was "too slow." Do I still get my 1-month notice pay?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,General-LLM
What are the requirements to renew a contract without going back to the Philippines (Direct Hire)?,General-LLM,Reasoning-LLM,General-LLM,General-LLM
My friend told me I can work "Part-time" as a cleaner for her friend. Is this worth the risk?,Reasoning-LLM,Reasoning-LLM,General-LLM,Reasoning-LLM
How much is the current HKID replacement fee if I lose my card this 2026?,General-LLM,General-LLM,General-LLM,General-LLM
My employer refuses to give me a proper bed; I sleep on a thin mat on the floor. Is this legal?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,ERROR: Empty route returned
What is the "14-day rule" for stay-in domestic helpers whose contracts are terminated?,General-LLM,General-LLM,General-LLM,General-LLM
"Can I sue my employer if they hit me, even if it was ""just once""?",Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
How do I apply for an "Extension of Stay" if my passport is being renewed at the Consulate?,General-LLM,Reasoning-LLM,General-LLM,General-LLM
I lost my wallet with my ATM card and my HKID. What should I report to the police first?,Reasoning-LLM,Reasoning-LLM,General-LLM,Reasoning-LLM
What is the "E-visa" and do I still need a physical sticker on my passport?,General-LLM,General-LLM,General-LLM,General-LLM
My boss is moving to a smaller flat and says I have to share a room with the kids. Can I complain?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
How many "Statutory Holidays" are there in total for the year 2026?,General-LLM,General-LLM,General-LLM,General-LLM
Can I get my "Severance Pay" if my employer becomes bankrupt?,Reasoning-LLM,Reasoning-LLM,General-LLM,General-LLM
What documents do I need to bring to the Airport to prove I am an OFW for tax exemption?,General-LLM,General-LLM,General-LLM,General-LLM
My amo is asking me to cook for their office staff every Friday. Is this allowed?,Reasoning-LLM,Reasoning-LLM,General-LLM,ERROR: Empty route returned
How do I verify my "OWWA Membership" status using my phone?,General-LLM,General-LLM,General-LLM,General-LLM
I'm being accused of theft by my boss but I didn't do it. Should I sign the confession paper?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
What is the hotline for the "Migrant Workers Office" (MWO) in Hong Kong?,General-LLM,General-LLM,General-LLM,General-LLM
"It's March 2026. Is my $4,990 salary still legal if I signed my contract 2 years ago?",Reasoning-LLM,Reasoning-LLM,General-LLM,General-LLM
"Do I need to pay the PHP 1,620 travel tax at NAIA if I have a valid OEC?",General-LLM,General-LLM,General-LLM,General-LLM
My OEC exemption was denied on the DMW app because I changed my employer. What now?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,General-LLM
"Is it true that Easter Monday (April 6, 2026) is now a mandatory paid holiday?",General-LLM,General-LLM,General-LLM,General-LLM
I'm going home for a 2-week vacation. Do I need to get a new OEC if I'm returning to the same boss?,General-LLM,General-LLM,General-LLM,General-LLM
My employer wants to "buy" my statutory holiday for $200. Should I agree to this?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
How much is the minimum food allowance if my boss doesn't provide meals this 2026?,General-LLM,General-LLM,General-LLM,General-LLM
What is the "468 Rule" and does it give me more rights than the old 418 rule?,General-LLM,General-LLM,General-LLM,Reasoning-LLM
I lost my boarding pass on my way back to HK. Will the Immigration let me in with just my visa?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,General-LLM
"My amo told me to work on April 5 (Ching Ming). Since it's a Sunday, when is my substitute holiday?",Reasoning-LLM,Reasoning-LLM,General-LLM,ERROR: Empty route returned
How do I book a flight home if my employer refuses to provide the ticket after 2 years?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
What is the maximum weight for a Balikbayan box to be tax-free in the Philippines?,General-LLM,General-LLM,General-LLM,General-LLM
I have an old OEC from 3 months ago. Can I still use it for my flight tomorrow?,General-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
My passport was damaged by water. Can I still fly if the data page is readable?,Reasoning-LLM,General-LLM,Reasoning-LLM,General-LLM
How much is the "Terminal Fee" refund for OFWs at the Manila airport?,General-LLM,General-LLM,General-LLM,General-LLM
My employer is asking me to pay for my own "Contract Verification" fee at the MWO.,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,General-LLM
Can I get an OEC at the airport on the day of my flight if I forgot to do it online?,General-LLM,General-LLM,General-LLM,General-LLM
I missed my flight because of heavy traffic in Manila. Will my employer pay for the new ticket?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
What is the website for the "DMW Online Services Portal" for OEC registration?,General-LLM,General-LLM,General-LLM,General-LLM
Pinipilit ako ng agency ko na mag-renew kahit ayaw ko na sa amo ko. May "Cooling-off" period ba?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
How many days before my flight should I apply for an OEC exemption?,General-LLM,General-LLM,General-LLM,General-LLM
My visa sticker is peeling off my passport. Is it still valid for travel?,Reasoning-LLM,General-LLM,Reasoning-LLM,General-LLM
"What is the penalty for employers who don't give the new $5,100 salary for 2026 contracts?",General-LLM,Reasoning-LLM,General-LLM,General-LLM
I want to bring my 10-year-old son to HK for a visit. Do I need an "Invitation Letter"?,Reasoning-LLM,Reasoning-LLM,General-LLM,General-LLM
Can I use my "Pag-IBIG Loyalty Card" as an ID at the Philippine Consulate?,General-LLM,General-LLM,General-LLM,General-LLM
My employer wants me to work in China for a week while they are on vacation. Is my HK visa enough?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
What is the current address of the Migrant Workers Office (MWO) in Admiralty?,General-LLM,General-LLM,General-LLM,General-LLM
I'm being asked to sign a "Waiver of Claims" before I go on vacation. Should I sign it?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
How much is the OWWA renewal fee in HK Dollars this March 2026?,General-LLM,General-LLM,General-LLM,General-LLM
My employer is deducting the cost of the "E-visa" from my salary. Is this allowed?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
Can I get a "Balik-Manggagawa" clearance if I'm already at the airport?,General-LLM,General-LLM,General-LLM,General-LLM
My agency told me I can't fly because my "Medical" has expired. Is this true for returning workers?,Reasoning-LLM,General-LLM,Reasoning-LLM,Reasoning-LLM
What is the "Red Ribbon" and why do I need it for my marriage certificate in HK?,General-LLM,General-LLM,General-LLM,General-LLM
I accidentally brought more than 2 reams of cigarettes to HK. What will happen at Customs?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
How do I renew my Philippine Driver's License while I am working in Hong Kong?,General-LLM,Reasoning-LLM,General-LLM,General-LLM
"My employer wants me to work on Good Friday (April 3, 2026). Is that a statutory holiday?",General-LLM,General-LLM,General-LLM,General-LLM
What is the "Electronic Travel Declaration" (eTravel) form for the Philippines?,General-LLM,General-LLM,General-LLM,General-LLM
My amo is only giving me 5 hours of sleep. How do I complain without getting fired?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
Can I apply for a SSS Calamity Loan if my province was declared under a state of calamity?,General-LLM,General-LLM,General-LLM,General-LLM
My passport will expire in exactly 6 months. Can I still travel back to HK?,Reasoning-LLM,General-LLM,Reasoning-LLM,Reasoning-LLM
How can I verify if my "Contract" is already uploaded to the DMW system?,General-LLM,Reasoning-LLM,General-LLM,General-LLM
I'm being asked to pay a "Processing Fee" for my Pag-IBIG loan by a fixer.,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
What is the "Assistance to Nationals" section hotline for emergencies?,General-LLM,General-LLM,General-LLM,General-LLM
My employer is moving to Discovery Bay and wants me to work there. Is there a different rule?,Reasoning-LLM,Reasoning-LLM,General-LLM,Reasoning-LLM
How many statutory holidays are there in total for the year 2026 in HK?,General-LLM,General-LLM,General-LLM,General-LLM
I want to send a "Power of Attorney" to the Philippines. Where do I get it notarized?,General-LLM,General-LLM,General-LLM,General-LLM
My employer is threatening to "Cancel my Visa" if I don't work on my rest day.,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
What is the "OFW Pass" and is it different from the traditional OEC?,General-LLM,General-LLM,General-LLM,General-LLM
"Sabi ng amo ko, bawal daw ako gumamit ng aircon sa kwarto ko kahit sobrang init. Is this a ""suitable accommodation"" violation?",Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
My employer wants me to sleep in the kitchen on a folding bed. Is this legal in Hong Kong?,General-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
Can I refuse to share a room with my employer's 15-year-old son?,General-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
Pinipilit ako ng amo ko na mag-stay sa bahay nila kahit tapos na ang contract ko at may bago na akong amo.,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
What is the "Live-in Requirement" for FDHs and can I stay with my friends on my rest day?,General-LLM,Reasoning-LLM,General-LLM,General-LLM
I have a debt with a finance company. Can they legally take my passport as collateral?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
My amo found out I have a loan and is threatening to fire me. Is having a debt a valid reason for termination?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
Magkano ang "Food Allowance" starting 2026 if my employer doesn't provide free meals?,General-LLM,General-LLM,General-LLM,General-LLM
My employer installed a CCTV inside my private bedroom. What is the law on privacy?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
Can I be deported if I cannot pay my bank loan in Hong Kong?,General-LLM,Reasoning-LLM,General-LLM,Reasoning-LLM
What are the requirements for "Suitable Accommodation" according to the Labour Department?,General-LLM,General-LLM,General-LLM,General-LLM
My agency told me to sign a loan for their "training fee." Is this a form of human trafficking?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
"Can my employer deduct $1,236 from my salary because they provide me with ""expensive food""?",General-LLM,Reasoning-LLM,General-LLM,Reasoning-LLM
I am a "guarantor" for my friend's loan and she ran away. Do I really have to pay her debt?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
What is the maximum interest rate a licensed money lender can charge in HK as of 2026?,General-LLM,General-LLM,General-LLM,General-LLM
My amo refuses to give me a key to the house. I have to wait for them to come home to enter. Is this allowed?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,ERROR: Empty route returned
Is it legal for a debt collector to call my employer's office or home every day?,General-LLM,Reasoning-LLM,General-LLM,Reasoning-LLM
I sleep in a partitioned space in the living room. Does this count as "reasonable privacy"?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,General-LLM
Can my employer enter my room anytime they want without knocking?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,General-LLM
How do I file a complaint if my employer is not providing "free access to water and toilet"?,General-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
My employer wants me to pay for the repair of the washing machine because I used it "too much.",Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
What happens if I get caught "living out" (not staying in my employer's house)?,General-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
I am being harassed by "loan sharks" (illegal lenders). Should I go to the police or the Consulate?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
Is the employer required to provide a cabinet with a lock for my personal belongings?,General-LLM,General-LLM,General-LLM,General-LLM
My amo told me I can only eat bread and noodles. Can I demand better food or a food allowance?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
Can a finance company sue me in the Philippines for a debt I made in Hong Kong?,General-LLM,Reasoning-LLM,General-LLM,Reasoning-LLM
I found a hidden camera in the bathroom. What is the first thing I should do?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
What is the "36% and 48% interest rate" rule under the Money Lenders Ordinance?,General-LLM,General-LLM,General-LLM,Reasoning-LLM
My employer says I have to pay for the "Wifi" if I want to use it. Is this a legal deduction?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
Does "Free Medical Treatment" include vitamins and supplements if I feel weak?,General-LLM,General-LLM,General-LLM,General-LLM
I was fired because I got pregnant. My amo says they don't have space for a baby. What are my rights?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
How much is the "Minimum Household Income" required for an employer to hire a helper in 2026?,General-LLM,General-LLM,General-LLM,General-LLM
My agency is asking for my HKID to "process my insurance." Should I let them keep it?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
Can I get a loan from a bank like HSBC if I am a Domestic Helper?,General-LLM,Reasoning-LLM,General-LLM,General-LLM
I share a room with another helper. Does she have the right to look through my things?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
Is it mandatory for an employer to provide a "proper bed" (not just a mat on the floor)?,General-LLM,General-LLM,General-LLM,Reasoning-LLM
My employer is asking me to sleep in their second house in the New Territories. Is this allowed?,Reasoning-LLM,Reasoning-LLM,General-LLM,Reasoning-LLM
What is the "Credit Reference Agency" and how does it affect my future loans?,General-LLM,General-LLM,General-LLM,General-LLM
My amo is using my name to apply for a loan for themselves. Is this a scam?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
"Can I file for ""Bankruptcy"" in Hong Kong if my debt is over $100,000?",General-LLM,Reasoning-LLM,General-LLM,General-LLM
I am being forced to work for 18 hours straight without a break. Is there a "Maximum Work Hour" law?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,General-LLM
What should I do if my employer moves to a flat that has no space for me to sleep?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
"Is the employer required to provide me with a uniform, or can I wear my own clothes?",General-LLM,General-LLM,General-LLM,Reasoning-LLM
My friend asked me to "pawn" my jewelry for her. Now she won't give it back.,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
Can I open a "Shared Account" with my employer for household expenses?,General-LLM,Reasoning-LLM,General-LLM,Reasoning-LLM
My employer is on vacation and locked the kitchen. I have no access to food. What do I do?,Reasoning-LLM,Reasoning-LLM,Casual-LLM,Casual-LLM
What is the "Small Claims Tribunal" for when it comes to money disputes with friends?,General-LLM,General-LLM,General-LLM,General-LLM
I suspect my employer is using my personal data to buy things online. How can I check?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
Can I go to a "Debt Counseling" center for free in Hong Kong?,General-LLM,General-LLM,General-LLM,General-LLM
Nasampal ako ng amo ko dahil nakalimutan ko i-off ang stove. Pwede ko ba siyang kasuhan kahit walang sugat?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
My employer's ward has a mental condition and keeps hitting me. Is the employer still liable?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
What is the maximum penalty for an employer who physically assaults a domestic helper in HK?,General-LLM,General-LLM,General-LLM,General-LLM
Pinagbibintangan ako ng amo ko na nagnakaw ng alahas. What should I do if the police arrive?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
"I was one of the OFWs affected by the Wang Fuk Court fire. How do I claim the $20,000 subsidy?",General-LLM,Reasoning-LLM,Reasoning-LLM,General-LLM
My employer's son is making inappropriate sexual jokes and touching my waist. Is this sexual harassment?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
Can I be jailed if I am caught working part-time in a restaurant during my rest day?,General-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
My amo took my passport and HKID and locked them in a safe. Is this "Illegal Detention of Documents"?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
What is the contact number of the HK Police "Emergency Hotline" for domestic violence?,General-LLM,General-LLM,General-LLM,General-LLM
I am being forced to work 19 hours a day with only 4 hours of sleep. Is this considered forced labor?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
Can an employer be blacklisted from hiring helpers if they are convicted of physical abuse?,General-LLM,General-LLM,General-LLM,Reasoning-LLM
My agency is asking me to lie to Immigration about my actual salary. What happens if I get caught?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
"Is it true that the fine for hiring an illegal worker has been increased to $500,000 this year?",General-LLM,General-LLM,General-LLM,Reasoning-LLM
I found a hidden camera in my bedroom. Can I use my phone to record it as evidence for the police?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
What is the "Operation Swordfish" by the Immigration Department and how does it affect OFWs?,General-LLM,General-LLM,General-LLM,Reasoning-LLM
My employer is threatening to "kill me" if I report them to the Labor Department. What's my safety plan?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
Can I still get my backwages and air ticket if I am the one who terminated the contract due to abuse?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
What is the definition of "Indecent Assault" under the Crimes Ordinance of Hong Kong?,General-LLM,General-LLM,General-LLM,General-LLM
I saw my employer hitting their own child. Should I report this to the Social Welfare Department?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
How do I file a "Common Law Claim" for damages after a serious workplace injury?,General-LLM,Reasoning-LLM,Reasoning-LLM,General-LLM
My friend was arrested for "Money Laundering" because she let someone use her bank account. How can I help?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
Can I be deported for "overstaying" even if it's only for 2 days due to a medical emergency?,General-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
My employer is forcing me to clean the windows on the 30th floor without a grill. Is this a crime?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
What is the address of the "Bethune House" or "Mission for Migrant Workers" shelter?,General-LLM,General-LLM,General-LLM,Casual-LLM
I am a victim of "Cyber-bullying" by my employer on TikTok. Can I sue them for defamation?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
How long is the jail sentence for an OFW caught using a forged or fake HKID?,General-LLM,Reasoning-LLM,General-LLM,Reasoning-LLM
My employer is withholding my food and water as a "punishment." Who should I call right now?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
Can the Consulate provide a "Temporary Shelter" if I have an ongoing case against my employer?,General-LLM,Reasoning-LLM,General-LLM,General-LLM
I was touched inappropriately by a delivery man inside the house. Is my employer responsible for my safety?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
What is "Criminal Intimidation" and how is it different from a simple argument?,General-LLM,General-LLM,General-LLM,General-LLM
"My agency is charging me $15,000 for ""loan processing."" Is this considered debt bondage?",Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
Can I lose my job if I am a "Non-Refoulement Claimant" (recognizance paper) and I am caught working?,General-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
I am being accused of "Conspiracy to Defraud" by Immigration. Do I need a private lawyer?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
What happens if I am a witness to a crime committed by my employer? Am I protected?,General-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
My employer's husband enters my room while I am changing. Is this a ground for immediate termination?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
Can I be arrested for "Theft" if I ate my employer's food without asking?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
What is the "Labor Tribunal" and how do I start a claim for unpaid wages?,General-LLM,Reasoning-LLM,General-LLM,General-LLM
My boss is making me work in their office as a receptionist. Is this a "Breach of Condition of Stay"?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
What is the "Statutory Minimum Wage" (SMW) and why does it not apply to stay-in helpers?,General-LLM,General-LLM,General-LLM,General-LLM
I am being harassed by debt collectors for a loan I didn't even take. What should I do?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
Can I get a "Legal Aid" lawyer if I have no money to pay for a court case?,General-LLM,General-LLM,General-LLM,General-LLM
My employer is recording my private phone calls with my family. Is this legal?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
What is the jail term for "Making False Representation" to an Immigration Officer?,General-LLM,General-LLM,General-LLM,Reasoning-LLM
I was forced to sign a "Resignation Letter" under duress. Can I still claim my benefits?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
How do I apply for an "Extension of Stay" as a visitor while waiting for my court case to finish?,General-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
My employer hit me with a broom and I have a bruise. Should I go to the hospital or police first?,Reasoning-LLM,Reasoning-LLM,General-LLM,Reasoning-LLM
What are the signs of "Human Trafficking" that I should look out for in a job offer?,General-LLM,General-LLM,General-LLM,Reasoning-LLM
Can my employer terminate me if I am diagnosed with a chronic illness like HIV or TB?,Reasoning-LLM,General-LLM,General-LLM,General-LLM
What is the hotline for the "Equal Opportunities Commission" (EOC) for discrimination cases?,General-LLM,General-LLM,General-LLM,General-LLM
I heard about the "Bernadette" case in Jan 2026. What should I do if my employer pulls my hair like in the video?,Reasoning-LLM,General-LLM,Reasoning-LLM,Reasoning-LLM
